Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,dicarboxylic acid catabolic process (GO:0043649),3/14,5.191409121134976e-05,0.0504604966574319,ACSF3;ASPA;DDO
GO_Biological_Process_2021,aspartate metabolic process (GO:0006531),2/6,0.000419413312460593,0.2038348698558482,ASPA;DDO
GO_Biological_Process_2021,regulation of T-helper cell differentiation (GO:0045622),1/6,0.0316774286006728,0.2539576789053526,HLA-DRB1
GO_Biological_Process_2021,fatty-acyl-CoA biosynthetic process (GO:0046949),2/30,0.0111874132699015,0.2539576789053526,TECR;ACSF3
GO_Biological_Process_2021,cellular amino acid catabolic process (GO:0009063),3/90,0.0124911796757363,0.2539576789053526,ARHGAP11B;ASPA;DDO
GO_Biological_Process_2021,regulation of dendritic spine morphogenesis (GO:0061001),2/32,0.012668114947714,0.2539576789053526,DHX36;NGEF
GO_Biological_Process_2021,regulation of intracellular protein transport (GO:0033157),2/32,0.012668114947714,0.2539576789053526,BMP4;PTPN14
GO_Biological_Process_2021,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100),3/92,0.0132505787720831,0.2539576789053526,BMP4;ZEB2;RBPMS
GO_Biological_Process_2021,protein destabilization (GO:0031648),2/34,0.0142293667322012,0.2539576789053526,CCDC88C;HTT
GO_Biological_Process_2021,regulation of ossification (GO:0030278),2/36,0.0158693141798747,0.2539576789053526,BMP4;NBR1
GO_Biological_Process_2021,regulation of protein import into nucleus (GO:0042306),2/36,0.0158693141798747,0.2539576789053526,BMP4;ZIC1
GO_Biological_Process_2021,inorganic cation transmembrane transport (GO:0098662),5/274,0.0159534035712558,0.2539576789053526,KCNH5;TRPC6;KCNQ1;SLC39A7;KCNAB3
GO_Biological_Process_2021,glutamate receptor signaling pathway (GO:0007215),2/37,0.0167182274105929,0.2539576789053526,GRM2;CPEB4
GO_Biological_Process_2021,regulation of viral entry into host cell (GO:0046596),2/39,0.0184728062474219,0.2539576789053526,TRIM31;HLA-DRB1
GO_Biological_Process_2021,positive regulation of programmed cell death (GO:0043068),5/286,0.0188365245678139,0.2539576789053526,BMP4;HTT;SAP18;KALRN;NGEF
GO_Biological_Process_2021,carboxylic acid metabolic process (GO:0019752),2/40,0.0193780266536451,0.2539576789053526,PON3;DDO
GO_Biological_Process_2021,extracellular matrix assembly (GO:0085029),2/24,0.0072476085382913,0.2539576789053526,HAS1;LTBP3
GO_Biological_Process_2021,regulation of potassium ion transmembrane transport (GO:1901379),2/54,0.0338785697929161,0.2539576789053526,KCNQ1;KCNAB3
GO_Biological_Process_2021,cartilage development (GO:0051216),2/52,0.0316090355235233,0.2539576789053526,BMP4;CD44
GO_Biological_Process_2021,positive regulation of leukocyte mediated cytotoxicity (GO:0001912),2/43,0.0222027783432186,0.2539576789053526,KLRC2;HLA-DRB1
GO_Biological_Process_2021,branching morphogenesis of an epithelial tube (GO:0048754),2/44,0.023180004560354,0.2539576789053526,BMP4;SEMA3E
